max,mean,min,mode,n,nmiss,pct_mode,pct_q01,pct_q99,q01,q05,q25,q50,q75,q95,q99,std,trim_mean,trim_std,variable
6905160.0,227847.2792833456,0.0,45000.0,1670214,385515,0.028637647630782644,0.007728350977778895,0.007750503827653223,15300.0,22882.5,50841.0,112320.0,234000.0,900000.0,1395000.0,315396.5579370121,222767.91636028752,288151.69467015256,AMT_GOODS_PRICE
418058.145,15955.120659452119,0.0,2250.0,1670214,372235,0.019078393547174194,0.007771459226182992,0.0077720579518552714,2137.14,2726.595,6321.78,11250.0,20658.42,45336.78,69685.155,14782.137334706187,15757.888477995402,13649.423654437956,AMT_ANNUITY
6905160.0,196114.0212179794,0.0,0.0,1670214,1,0.20163164720209506,0.20163164720209506,0.01002865501067528,0.0,0.0,24160.5,80541.0,216418.5,886500.0,1515100.5,318574.61654689774,191933.64121875179,294772.6309060898,AMT_CREDIT
1.0,0.3325701575190869,0.0,0.0,1670214,673065,0.39846810049490666,0.39846810049490666,0.1985506048925467,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.47113423824736606,0.3325701575190869,0.47113423824736606,NFLAG_INSURED_ON_APPROVAL
84.0,16.0540815603274,0.0,12.0,1670214,372230,0.1934177297040978,0.08680624159538837,0.032207848814583044,0.0,0.0,6.0,12.0,24.0,48.0,60.0,14.567287743987567,16.05191820546324,14.559534968853946,CNT_PAYMENT
3060045.0,6697.402138796702,-0.9,0.0,1670214,895844,0.22144108479512206,0.22144228224646662,0.004637130331801793,0.0,0.0,0.0,1638.0,7740.0,26182.35,65929.5,20921.495409680978,6072.932366078234,10891.432165404844,AMT_DOWN_PAYMENT
365243.0,342209.85503871535,-2922.0,365243.0,1670214,673065,0.5594756121071911,0.005975282209345629,0.5594756121071911,-2441.0,-269.0,365243.0,365243.0,365243.0,365243.0,365243.0,88916.11583302688,342212.2486759752,88906.83301043132,DAYS_FIRST_DRAWING
365243.0,33767.77405382746,-2801.0,365243.0,1670214,673065,0.05619878650280742,0.006015995555060609,0.05619878650280742,-2599.0,-2327.0,-1242.0,-361.0,129.0,365243.0,365243.0,106857.03478913117,33768.49992729271,106856.7873765579,DAYS_LAST_DUE_1ST_VERSION
6905160.0,175233.86036042977,0.0,0.0,1670214,0,0.23494115125367168,0.23494115125367168,0.014600524244198648,0.0,0.0,18720.0,71046.0,180360.0,787500.0,1350000.0,292779.76238609536,170893.61070529572,267972.8828504893,AMT_APPLICATION
23.0,12.484181667738385,0.0,11.0,1670214,0,0.11539120136701045,0.018670062638679832,0.011698500910661748,5.0,7.0,10.0,12.0,15.0,18.0,20.0,3.3340279649347973,12.494959927290754,3.288107785452644,HOUR_APPR_PROCESS_START
1.0,0.9964675185335532,0.0,1.0,1670214,0,0.9964675185335532,1.0,0.9964675185335532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05932963128701773,1.0,0.0,NFLAG_LAST_APPL_IN_DAY
1.0,0.7735025434991827,0.3731501057082452,0.8350951374207188,1670214,1664263,0.001028011979303251,4.071334571498024e-05,0.0005580123265641408,0.4244186046511628,0.6379492600422833,0.715644820295983,0.8350951374207188,0.852536997885835,0.8673361522198731,0.8673361522198731,0.10087859145207415,0.773497481013904,0.10077912891595546,RATE_INTEREST_PRIVILEGED
-1.0,-880.6796679946402,-2922.0,-245.0,1670214,0,0.001463285543050172,0.010008298337817788,0.010513024079549087,-2835.0,-2559.0,-1300.0,-581.0,-280.0,-85.0,-14.0,779.0996667603936,-880.3170569759325,777.9408459659427,DAYS_DECISION
365243.0,81992.34383828295,-2874.0,365243.0,1670214,673065,0.13525991280159308,0.006012403201026934,0.13525991280159308,-2589.0,-2331.0,-1270.0,-499.0,-44.0,365243.0,365243.0,153303.5167293063,81992.91388548752,153303.20203859825,DAYS_TERMINATION
1.0,0.07963681542840673,-1.4978763414307847e-05,0.0,1670214,895844,0.22144108479512206,0.22144228224646662,0.0046377290574740725,0.0,0.0,0.0,0.051604269628719175,0.1089090909090909,0.29412575484782444,0.5210795073957335,0.10782331436180813,0.07897006791598796,0.10455870942567425,RATE_DOWN_PAYMENT
365243.0,13826.269336879443,-2892.0,365243.0,1670214,673065,0.02433520494978488,0.006000428687581352,0.02433520494978488,-2822.0,-2608.0,-1628.0,-831.0,-411.0,-48.0,365243.0,72444.86970788498,13826.586998532817,72444.79661098456,DAYS_FIRST_DUE
1.0,0.18835688954982066,0.03478125354187918,0.1891363481808909,1670214,1664263,0.0007292478688359696,3.831844302586375e-05,6.166874424474948e-05,0.05913521477955345,0.14244021307945146,0.1607163096452454,0.1891221806641732,0.19332993312932112,0.19691431485889155,0.6961776039895727,0.08767110450633235,0.18812994026378826,0.086106275599369,RATE_INTEREST_PRIMARY
365243.0,76582.40306413585,-2889.0,365243.0,1670214,673065,0.12646343522446823,0.006004619767287306,0.12646343522446823,-2618.0,-2349.0,-1314.0,-537.0,-74.0,365243.0,365243.0,149647.41512317583,76583.14820653683,149647.02047884668,DAYS_LAST_DUE
4000000.0,313.95111524630977,-1.0,-1.0,1670214,0,0.4566331021054787,0.4566331021054787,0.010024463930969325,-1.0,-1.0,-1.0,3.0,82.0,1820.0,3570.0,7127.443459227693,249.83970497193772,658.1781575714552,SELLERPLACE_AREA
